,,,"Kingston [Population centre], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  117660,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  114928,r,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      2.4,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   57665,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   51353,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",, 1573.7,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,     74.77,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  117655,,   56220,,   61435,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   17615,,    9080,,    8535,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,    5790,,    3010,,    2775,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,    6120,,    3115,,    3005,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,    5710,,    2955,,    2755,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,   77365,,   37475,,   39885,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,    6415,,    3210,,    3205,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,    9150,,    4455,,    4695,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,    8930,,    4440,,    4485,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,    8095,,    4010,,    4085,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,    7315,,    3640,,    3670,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,    6605,,    3250,,    3355,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,    7090,,    3390,,    3705,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,    8535,,    4125,,    4410,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,    8005,,    3645,,    4360,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,    7230,,    3315,,    3915,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   22680,,    9670,,   13010,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,    6755,,    2985,,    3770,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,    5230,,    2365,,    2860,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,    3900,,    1740,,    2160,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    3210,,    1325,,    1875,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,    3585,,    1250,,    2335,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    2215,,     860,,    1355,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    1050,,     310,,     745,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     290,,      75,,     210,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,      35,,       5,,      30,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   15.0,,   16.2,,   13.9,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   65.8,,   66.7,,   64.9,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   19.3,,   17.2,,   21.2,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    3.0,,    2.2,,    3.8,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   41.9,,   40.4,,   43.3,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   41.0,,   39.0,,   42.9,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   51355,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   23705,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,    8690,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   18785,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    4035,,,...,,...,  289975,,,...,,...
"Household and dwelling characteristics","    Row house",,    4095,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,    1955,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,    8600,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     105,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     165,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   51355,,,...,,..., 5169170,,,...,,...
"Household and dwelling characteristics","  1 person",,   16890,,,...,,..., 1341300,,,...,,...
"Household and dwelling characteristics","  2 persons",,   18350,,,...,,..., 1693525,,,...,,...
"Household and dwelling characteristics","  3 persons",,    7415,,,...,,...,  834260,,,...,,...
"Household and dwelling characteristics","  4 persons",,    5910,,,...,,...,  796320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    2780,,,...,,...,  503775,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  114440,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.2,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  100040,,   47140,,   52900,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,   53230,,   26680,,   26550,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,   42080,,   21160,,   20925,, 5531930,, 2764275,, 2767655,
"Marital status","    Living common law",,   11155,,    5525,,    5630,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,   46805,,   20460,,   26345,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",,   29165,,   14970,,   14200,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,    3435,,    1425,,    2005,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    7520,,    2660,,    4860,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    6685,,    1395,,    5285,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   31955,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   17910,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,    6675,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,    5400,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,    1970,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.7,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   31955,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,   25825,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   20250,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    5570,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    6125,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    4890,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,    1235,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   25825,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   14025,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,   11800,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,    4975,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,    4970,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,    1860,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    6130,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,    3880,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,    1700,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,     545,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   26615,,   11635,,   14980,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,   51355,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,   30790,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   13545,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,   17245,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,     575,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,   19985,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,   16890,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    3090,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  115015,,   54720,,   60295,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,   98840,,   47470,,   51370,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,     270,,     115,,     155,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,   15280,,    6880,,    8400,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,     625,,     260,,     370,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  115015,,   54720,,   60295,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,  109825,,   52240,,   57580,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    4085,,    2005,,    2080,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,     510,,     230,,     275,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,     600,,     240,,     355,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    4340,,    2120,,    2220,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    3.8,,    3.9,,    3.7,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  115015,,   54725,,   60295,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,  113355,,   53955,,   59395,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,  101410,,   48395,,   53015,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,   97365,,   46415,,   50955,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    4045,,    1980,,    2060,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,   11945,,    5565,,    6380,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,      30,,      15,,      15,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,      25,,      15,,      15,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,      20,,      10,,      10,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       5,,       0,,       5,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,      10,,       5,,       0,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,       5,,       0,,       0,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,       5,,       0,,       0,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,       5,,       0,,       5,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,       5,,       0,,       0,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       5,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
